status,provider,api_name,env_var,portal,issued_date,expires_date,daily_limit,doc_url,note,verified
발급완료,공공데이터포털,관세청_품목별 국가별 수출입실적(GW),DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,10000,https://www.data.go.kr,HS×국가 메인 통계. getNitemtradeList / XML전용 / 보관키 as-is(Encoding) 동작 / HTTPS 가능. 응답 첫 item 이 총계,검증완료 2026-09-22
발급완료,공공데이터포털,관세청_관세환율정보(GW),DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,1000,https://www.data.go.kr,주간 과세환율. 관세율·결제환율과 구분,미검증
발급완료,공공데이터포털,관세청_세관장확인대상물품(GW),DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,HS별 수출입 요건,미검증
발급완료,공공데이터포털,대한무역투자진흥공사_국가정보,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,1000,https://www.data.go.kr,국가별 시장 분석,미검증
발급완료,공공데이터포털,대한무역투자진흥공사_국가 목록,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,대한 수입규제 현황 포함,미검증
발급완료,공공데이터포털,한국무역보험공사_국가목록,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,264개국 신용등급 기반,미검증
발급완료,공공데이터포털,해양수산부_선박운항정보,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,스케줄만. 실제 운임·납기 아님,미검증
발급완료,공공데이터포털,해양수산부_항만별 선박입출항실적,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,10000,https://www.data.go.kr,항만별 통계,미검증
발급완료,공공데이터포털,관세청_국가별 수출입실적(GW),DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,국가·경제권 단위 집계,미검증
발급완료,공공데이터포털,관세청_성질별 수출입실적(GW),DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,소비재·원자재·자본재,미검증
발급완료,공공데이터포털,관세청_시도별 품목별 수출입실적(GW),DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,17개 시도,미검증
발급완료,공공데이터포털,관세청_시군구별 품목별 수출입실적,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,시군구 무역수지,미검증
발급완료,공공데이터포털,대한무역투자진흥공사_해외인증정보,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,국가별 인증 제도,미검증
발급완료,공공데이터포털,인천항만공사_인천항 선박 입출항 정보,DATA_GO_KR_API_KEY,data.go.kr,2026-09-18,2028-09-18,,https://www.data.go.kr,심의승인 대상,미검증
발급완료,한국은행,ECOS 통계 API,ECOS_API_KEY,ecos.bok.or.kr,2026-09-18,,,https://ecos.bok.or.kr/api,환율·수출입물가·경상수지,미검증
발급완료,UN,UN Comtrade,COMTRADE_API_KEY,comtradedeveloper.un.org,2026-09-18,,500,https://comtradedeveloper.un.org,일 500회·호출당 10만건,미검증
발급완료,US Census,International Trade API,CENSUS_API_KEY,api.census.gov,2026-09-18,,,https://api.census.gov,모든 요청에 키 필수,미검증
발급완료,WTO,Timeseries API,WTO_API_KEY,apiportal.wto.org,2026-09-18,,,https://apiportal.wto.org,양허·실행·특혜 관세,미검증
